,precision,recall,f1-score,support
0,0.39951467019633796,0.9192893401015229,0.5569737044441028,1970.0
1,0.45918367346938777,0.04725236261813091,0.0856870834655665,2857.0
accuracy,0.40314895380153304,0.40314895380153304,0.40314895380153304,0.40314895380153304
macro avg,0.42934917183286286,0.4832708513598269,0.32133039395483465,4827.0
weighted avg,0.4348315010128085,0.40314895380153304,0.27802904396436834,4827.0
