,precision,recall,f1-score,support
0,0.8860759493670886,0.14213197969543148,0.24496937882764655,1970.0
1,0.6253602305475504,0.9873993699684984,0.765743756786102,2857.0
accuracy,0.6424280091153926,0.6424280091153926,0.6424280091153926,0.6424280091153926
macro avg,0.7557180899573195,0.5647656748319649,0.5053565678068742,4827.0
weighted avg,0.7317637868090979,0.6424280091153926,0.5532048041078013,4827.0
