,precision,recall,f1-score,support
0,0.6750195771339076,0.8751269035532995,0.7621573828470379,1970.0
1,0.891772987241531,0.7094854742737137,0.7902534113060428,2857.0
accuracy,0.7770872177335819,0.7770872177335819,0.7770872177335819,0.7770872177335819
macro avg,0.7833962821877193,0.7923061889135066,0.7762053970765403,4827.0
weighted avg,0.8033113717635906,0.7770872177335819,0.7787868324653053,4827.0
