,precision,recall,f1-score,support
0,0.671334431630972,0.8274111675126904,0.7412460209185994,1970.0
1,0.858274280950396,0.7206860343017151,0.7834855403348555,2857.0
accuracy,0.7642428009115393,0.7642428009115393,0.7642428009115393,0.7642428009115393
macro avg,0.764804356290684,0.7740486009072027,0.7623657806267274,4827.0
weighted avg,0.7819802053010765,0.7642428009115393,0.766246706017469,4827.0
