,precision,recall,f1-score,support
0,1.0,0.8751269035532995,0.9334055224688683,1970.0
1,0.0,0.0,0.0,0.0
accuracy,0.8751269035532995,0.8751269035532995,0.8751269035532995,0.8751269035532995
macro avg,0.5,0.43756345177664974,0.46670276123443416,1970.0
weighted avg,1.0,0.8751269035532995,0.9334055224688683,1970.0
